common_name,scientific_name,kingdom,phylum,class,order,family,genus,habitat,diet,lifespan_wild,lifespan_captivity,weight_kg,conservation_status,population_trend,geographic_range,interesting_fact,threats,description,lipaspan_captivity,lipaspan_wild
Atlas Moth,Attacus atlas,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Attacus,Tropical and subtropical forests,Herbivore (larvae) — various trees; Adults — cannot eat (no functional mouthparts),1–2 weeks (adult),N/A,<0.001 kg,Not Evaluated,Unknown,"South and Southeast Asia, China",The Atlas moth is among the largest moths in the world with a wingspan of up to 30 cm. Adult moths have no functional mouthparts and cannot eat — they survive entirely on fat reserves accumulated as caterpillars and typically live for just 1–2 weeks.,"Deforestation, light pollution","The Atlas moth has enormous, richly patterned wings in rusty red and brown with transparent 'windows' and distinctive snake-head patterns at each forewing tip — thought to deter predators by mimicking the head of a snake.",,
Banded Orange Heliconian,Dryadula phaetusa,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dryadula,"Tropical forests, forest edges, open areas","Herbivore (larvae) — passionflower vines; Adults — nectar, pollen",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"Central America, South America",Heliconian butterflies can incorporate amino acids from pollen into their diet — an unusual ability for butterflies. This supplementary protein significantly extends their lifespan (up to six months) compared to most butterflies that live only a few weeks.,"Deforestation, loss of passionflower host plants",The banded orange heliconian is a long-winged butterfly with brilliant orange-red wings crossed by bold black bands and bordered in black. Its vivid colouration serves as aposematic warning of its toxicity.,,
Banded Peacock,Papilio tyndaraeus,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,"Tropical forests, forest clearings",Herbivore (larvae) — citrus plants; Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"Central America, Mexico",The banded peacock butterfly is known to engage in hilltopping — males fly to the tops of hills and tree canopies to establish territories and compete for females who arrive to mate at these elevated vantage points.,Forest habitat loss,"The banded peacock is a large, striking swallowtail with iridescent blue-green wings crossed by a broad black band and decorated with brilliant iridescent scaling that shimmers in changing light.",,
Banded Tiger Moth,Apantesis vittata,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Apantesis,"Fields, meadows, roadsides, forest edges",Herbivore (larvae) — various low-growing plants; Adults — minimal,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Eastern North America,Tiger moths produce ultrasonic clicks that jam the echolocation signals of hunting bats — a remarkable anti-predator adaptation. The moths with the most vivid warning colours also tend to produce the most effective jamming signals.,"Habitat loss, light pollution",The banded tiger moth has cream-coloured wings crossed by bold black stripes on the forewings and brilliant red-orange hindwings that flash when the moth is disturbed — a startling warning to predators of its toxicity.,,
Bear,Ursidae spp.,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Various,"Forests, mountains, tundra, arctic","Omnivore — fish, berries, honey, insects, mammals",20–25 years,Up to 40 years,27–700 kg (varies by species),Least Concern,Varies by species,"North America, Europe, Asia","Bears are powerful swimmers and some species, such as the polar bear, can swim for hundreds of kilometres without rest.","Habitat loss, poaching, human conflict","Bears are large mammals in the family Ursidae. They have stocky bodies, rounded ears, short tails and strong claws. Most species are omnivorous and several hibernate during winter.",,
Beaver,Castor canadensis,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,"Rivers, lakes, streams, wetlands","Herbivore — bark, leaves, aquatic plants",10–15 years,Up to 24 years,16–32 kg,Least Concern,Stable,North America,Beavers are nature's engineers — their dams create wetland habitats that support hundreds of other species and reduce flooding downstream.,"Trapping, habitat drainage","The North American beaver is the largest rodent in North America. Known for building dams from branches and mud, beavers are semiaquatic with webbed hind feet and a large, flat, paddle-shaped tail.",,
Beckers White,Not yet classified,Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Various,Unknown,Unknown,Unknown,Unknown,Not Evaluated,Unknown,Unknown,The Beckers White is one of 209 species in the AniX wildlife identification dataset.,Unknown,The Beckers White is included in the AniX training dataset. Detailed biological information will be updated in a future version.,,
Bee,Apis mellifera,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,"Meadows, gardens, forests, farmland","Herbivore — nectar, pollen",6 weeks (worker); 2–5 years (queen),N/A,<0.001 kg,Not Evaluated,Decreasing,"Worldwide (domesticated); native to Europe, Africa, Western Asia",Honey bees communicate the location of food sources through a complex 'waggle dance' — a figure-8 movement whose direction and duration encode the direction and distance of flowers from the hive. This is one of the most sophisticated forms of communication in the animal kingdom.,"Pesticides (especially neonicotinoids), habitat loss, pathogens, climate change","The western honey bee is the world's most important commercial pollinator. Workers have pollen baskets on their hind legs, barbed stings, and communicate via the famous waggle dance. They live in highly organised social colonies of up to 80,000 individuals.",,
Bird Cherry Ermine Moth,Yponomeuta evonymella,Animalia,Arthropoda,Insecta,Lepidoptera,Ypsolophidae,Yponomeuta,"Hedgerows, gardens, woodland edges with bird cherry",Herbivore (larvae) — bird cherry leaves; Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"Europe, parts of Asia","Colonies of bird cherry ermine moth caterpillars can completely envelop entire trees — sometimes entire hedgerows — in dense silken webbing as they feed, creating ghostly white shrouded landscapes that are spectacular but temporary.",Minimal — pest of ornamental bird cherry trees,"The bird cherry ermine moth has white forewings dotted with rows of small black spots and pale hindwings. Its caterpillars are social web-spinners, covering their host trees in dense communal silk tents while feeding.",,
Bison,Bison bison,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,"Grasslands, prairies, open forests","Herbivore — grasses, sedges, shrubs",15–20 years,Up to 25 years,400–900 kg,Near Threatened,Increasing,North America,"American bison once numbered 30–60 million across North America. Hunting reduced them to fewer than 1,000 by the 1890s. Conservation efforts have brought numbers back to around 500,000 today.","Habitat fragmentation, hybridisation with cattle","The American bison is the largest land animal in North America. It has a massive head, high shoulder hump, and shaggy dark-brown fur on the front body that becomes lighter toward the rear.",,
Black Hairstreak,Satyrium pruni,Animalia,Chordata,Insecta,Lepidoptera,Lycaenidae,Satyrium,Woodland rides and edges with blackthorn shrubs,Herbivore (larvae) — blackthorn (Prunus spinosa); Adults — privet and bramble nectar,1 year (lifecycle),N/A,<0.001 kg,Near Threatened,Decreasing,"Europe, parts of Asia","The black hairstreak is one of the rarest butterflies in England, confined to the ancient blackthorn hedges and woodland edges of a small area between Oxford and Peterborough. Adults spend much of their short lives in the tree canopy.","Habitat loss, blackthorn removal, lack of woodland management","The black hairstreak is a small, dark butterfly with orange-spotted hindwings and a fine hairstreak line on the underside. It is inconspicuous and sedentary, spending most of its time in blackthorn canopy.",,
Blackbird,Turdus merula,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,"Woodland, gardens, parks, farmland","Omnivore — earthworms, berries, insects, seeds",2–3 years,Up to 20 years,0.08–0.125 kg,Least Concern,Decreasing,"Europe, Asia, North Africa; introduced in Australia, New Zealand","Male blackbirds are renowned for their complex, melodic song — one of the most varied and beautiful of any European bird. They often sing at dawn and dusk, and can incorporate sounds from their environment into their songs.","Cat predation, habitat loss, pesticide reduction of invertebrates",The common blackbird is a member of the thrush family. The male has all-black plumage with a bright yellow-orange beak and eye-ring; the female is brown with streaked underparts. It is one of the most familiar garden birds in Europe.,,
Blue Morpho,Morpho peleides,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,Tropical rainforests of Central and South America,"Herbivore (larvae) — legumes; Adults — rotting fruit, tree sap, fungi",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Mexico to Colombia,The blue morpho's wings contain no blue pigment — the brilliant iridescent blue is created by microscopic light-refracting scales. This structural colour is so intense that it is visible from aircraft flying over the rainforest canopy.,"Deforestation, collection","The blue morpho is one of the world's most spectacular butterflies, with a wingspan of 12–20 cm and wings of brilliant iridescent blue above. The undersides are cryptic brown with eyespots — when flying, the alternating blue/brown creates a flickering camouflage.",,
Blue Spotted Crow,Euploea midamus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Euploea,"Tropical and subtropical forests, gardens",Herbivore (larvae) — various plants; Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,South and Southeast Asia,"Crow butterflies sequester toxic alkaloids from their larval host plants, making themselves unpalatable to predators. Males gather minerals from moist soil and decaying matter to produce pheromones for mating.",Deforestation,"The blue-spotted crow is a dark brown to black butterfly with rows of white and blue spots on its wings. It flies slowly with shallow wingbeats, advertising its unpalatability with conspicuous colouring.",,
Brookes Birdwing,Not yet classified,Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Various,Unknown,Unknown,Unknown,Unknown,Not Evaluated,Unknown,Unknown,The Brookes Birdwing is one of 209 species in the AniX wildlife identification dataset.,Unknown,The Brookes Birdwing is included in the AniX training dataset. Detailed biological information will be updated in a future version.,,
Brown Argus,Aricia agestis,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Aricia,"Chalk and limestone grasslands, heathland, coastal areas",Herbivore (larvae) — rock-rose (Helianthemum); Adults — small flowers,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"Europe, Western Asia","The brown argus has expanded its range significantly northward in recent decades due to climate warming, colonising sites further north in Britain and Europe than it previously occupied — making it one of the 'climate change winner' species.","Loss of chalk grassland, habitat fragmentation","The brown argus is a small butterfly, brown on both sides (unlike the common blue). Orange lunules border both wing edges, and the underside has distinctive orange and black spots on a greyish-brown background.",,
Brown Bear,Ursus arctos,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,"Forests, mountains, tundra, river valleys","Omnivore — fish, berries, roots, small mammals",20–30 years,Up to 50 years,80–600 kg,Least Concern,Stable,"North America, Europe, Asia","Brown bears can run at speeds up to 56 km/h despite their size, and they can consume up to 20,000 calories per day to prepare for winter hibernation.","Habitat loss, poaching, human conflict","The brown bear is one of the largest living carnivores on land. It has a large head with a concave facial profile, prominent shoulder hump, and long front claws used for digging roots and catching fish.",,
Brown Headed Barbet,Psilopogon zeylanicus,Animalia,Chordata,Aves,Piciformes,Megalaimidae,Psilopogon,"Forest edges, gardens, orchards, parks","Frugivore/Omnivore — fruits, berries, insects",6–8 years,N/A,0.09–0.11 kg,Least Concern,Stable,Indian subcontinent,"The brown-headed barbet makes its nest by excavating a hole in a dead tree branch. It produces a loud, repetitive 'kutroo-kutroo' call often described as similar to a water pump, which can be heard for several hundred metres.","Habitat loss, deforestation","The brown-headed barbet is a plump, green bird with a brown streaked head and throat, bright orange patches around its eyes and bill, and a heavy, pale yellow bill with bristles at the base — typical of barbets.",,
Brown Siproeta,Siproeta epaphus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Siproeta,"Tropical and subtropical forests, forest edges","Herbivore (larvae) — Ruellia; Adults — rotting fruit, nectar, bird droppings",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Mexico through Central America to Peru and Bolivia,Siproeta butterflies are known for their habit of following army ant swarms to feed on other insects flushed out by the ants — a behaviour called 'army ant following' that is more commonly associated with birds.,Deforestation,"The brown siproeta is a medium-large butterfly with warm brown wings patterned with white and pale yellow patches. It has a distinctively broad, rounded wing shape and a graceful, gliding flight style.",,
Buffalo,Syncerus caffer,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus,"Savannas, woodlands, floodplains, forests","Herbivore — grasses, sedges",15–22 years,Up to 29 years,300–900 kg,Least Concern,Decreasing,Sub-Saharan Africa,African buffalo are known for their remarkable memory and group cohesion — the herd will collectively vote on which direction to move by standing and facing the desired direction.,"Habitat loss, disease, hunting","The African buffalo, or Cape buffalo, is a large sub-Saharan African bovine. It has a fused, helmet-like horn boss that distinguishes it from other bovids. It is considered one of Africa's most dangerous animals.",,
Bull,Bos taurus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,"Grasslands, farmlands, pastures","Herbivore — grasses, hay, grain",15–20 years,20–25 years,500–1000 kg,Not Evaluated,Stable,Worldwide (domesticated),"Domestic cattle were domesticated from the extinct aurochs around 10,000 years ago in the Near East and independently in India and Africa.",Minimal — domesticated,A bull is an intact adult male domestic bovine. Bulls are heavily muscled with thick necks and broad foreheads. They are used in agriculture for draft work and in selective breeding.,,
Butterfly,Lepidoptera spp.,Animalia,Arthropoda,Insecta,Lepidoptera,Various,Various,Virtually all terrestrial habitats,"Herbivore (larvae) — plants; Adults — nectar, fruit, salts, minerals","2 weeks–6 months (adult, varies by species)",N/A,<0.001 kg,Least Concern,Decreasing,Worldwide except Antarctica,Butterflies taste with their feet — they have chemoreceptors on their tarsi (feet) that detect sugar and other chemicals when they land on a leaf or flower. This helps them quickly assess whether a plant is a suitable food source or egg-laying site.,"Habitat loss, pesticides, climate change","Butterflies are a large group of insects in the order Lepidoptera distinguished by scaled wings and diurnal activity. They undergo complete metamorphosis through four stages: egg, caterpillar, chrysalis, and adult.",,
Cabbage White,Pieris rapae,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,"Gardens, fields, farmland, roadsides","Herbivore (larvae) — cabbage, broccoli, mustard plants; Adults — nectar",3–4 weeks (adult),N/A,<0.001 kg,Least Concern,Stable,Originally Europe and Asia; now worldwide except Antarctica (invasive),"The small white butterfly is one of the most successful insects in the world, having spread to every inhabited continent from its native Europe. It was accidentally introduced to Australia in 1929 and North America in the 1860s via transport of its host plants.",None — abundant,The small white (cabbage white) butterfly has off-white wings with dark wing tips and (in females) two dark spots on the forewing. Its larvae are agricultural pests of brassica crops. It is among the most common butterflies globally.,,
Cairns Birdwing,Ornithoptera euphorion,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Ornithoptera,"Tropical rainforests of North Queensland, Australia",Herbivore (larvae) — Aristolochia vines; Adults — nectar from flowers,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"Northeast Queensland, Australia",The Cairns birdwing is Australia's largest butterfly with a wingspan up to 17 cm. It is legally protected in Australia. Planting its host vine (Aristolochia) in gardens has helped support urban populations in Cairns and surroundings.,"Habitat loss, urban development","The male Cairns birdwing is one of the world's most striking butterflies, with brilliant metallic green, yellow and black wings. Females are larger but less colourful, with black and white-spotted wings.",,
Camel,Camelus dromedarius,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,"Deserts, arid and semi-arid regions","Herbivore — dry grasses, shrubs, thorny plants",40–50 years,Up to 50 years,400–690 kg,Not Evaluated,Stable,"Middle East, North Africa, South Asia (domesticated)",A camel's hump stores up to 36 kg of fat — not water — which can be metabolised for energy and water when food and drink are scarce.,Minimal — domesticated; feral populations managed,The dromedary or Arabian camel has a single hump and is one of the most recognisable animals on Earth. It is adapted to extreme desert environments with the ability to endure long periods without food or water.,,
Canary,Serinus canaria domestica,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Serinus,"Open forests, scrublands (wild); cages (domesticated)","Herbivore — seeds, buds, berries",3–7 years,10–15 years,0.015–0.025 kg,Least Concern,Stable,"Canary Islands, Azores, Madeira (wild); worldwide (captive)","Canaries were used in coal mines as early warning systems for poisonous gases — particularly carbon monoxide. Because they are more sensitive to toxic fumes, miners could escape before being affected themselves.",Trapping (wild populations); minimal — domesticated,"The domestic canary was developed from the wild Atlantic canary. It is a small, active finch. The singing ability and bright yellow colour (in many domestic breeds) make it one of the most popular cage birds worldwide.",,
Caracal,Caracal caracal,Animalia,Chordata,Mammalia,Carnivora,Felidae,Caracal,"Savannas, dry forests, scrublands, semi-deserts","Carnivore — rodents, birds, antelopes, hares",10–12 years,Up to 19 years,8–20 kg,Least Concern,Stable,"Africa, Middle East, Central Asia, India","Caracals can leap up to 3 metres into the air to catch birds in flight, swiping at multiple birds with their paws in a single jump.","Habitat loss, persecution by livestock farmers","The caracal is a medium-sized wild cat known for its distinctive long, black-tipped tufted ears. Its coat is uniformly reddish-tan or sandy, and it is the fastest cat of its size in Africa.",,
Cat,Felis catus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,All environments (domesticated),"Carnivore — meat, fish, small prey",2–5 years (feral),12–18 years,3–5 kg,Not Evaluated,Stable,Worldwide,Cats can make around 100 different sounds; dogs can make only about 10. Cats also have a specialised collarbone that allows them to always land on their feet.,None (domesticated),"The domestic cat is a small carnivorous mammal and one of the most popular pet animals worldwide. It has retractable claws, binocular vision, and a flexible spine — characteristics of a natural predator.",,
Caterpillar,Lepidoptera larva,Animalia,Arthropoda,Insecta,Lepidoptera,Various,Various,Virtually all terrestrial habitats,"Herbivore — leaves, flowers, fruits, occasionally other insects",Weeks to months (larval stage),N/A,<0.001 kg,Varies,Varies,Worldwide,"When a caterpillar pupates, it doesn't simply reorganise — it essentially dissolves most of its body into a soup of cells, then rebuilds the butterfly or moth from specialised imaginal discs. Remarkably, the adult retains some memories from the caterpillar stage.","Predation, parasitism, pesticides","Caterpillars are the larval stage of moths and butterflies. They have a cylindrical, segmented body with three pairs of true legs and up to five pairs of prolegs. Many are cryptically coloured; others are brightly coloured to warn of toxicity.",,
Cattle Egret,Bubulcus ibis,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,"Grasslands, farms, wetlands, roadsides","Carnivore — insects, frogs, small lizards, rodents",10–15 years,Up to 22 years,0.27–0.51 kg,Least Concern,Increasing,Nearly worldwide — one of the most successful birds on Earth,"Cattle egrets follow large mammals and farm machinery, catching insects, frogs, and other small animals disturbed by their movement. Each egret may eat 50% more food this way than by foraging alone.",Wetland drainage,"The cattle egret is a small, stocky white heron with a short yellow bill and dark legs. During breeding season, it develops orange-buff plumes on the crown, back and chest. It is one of the few herons that has expanded its range globally.",,
Centipede,Scolopendra gigantea,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,"Tropical rainforests, under rocks, logs, leaf litter","Carnivore — insects, spiders, lizards, frogs, small rodents, bats",5–10 years,Up to 10 years,0.015–0.080 kg,Least Concern,Stable,South America and Caribbean,"The Amazonian giant centipede can catch and kill bats by climbing cave walls and ceiling, hanging suspended by its rear legs, and seizing bats mid-flight — one of the most remarkable hunting behaviours documented in an invertebrate.",Habitat loss,"The Amazonian giant centipede is the world's largest centipede, reaching up to 30 cm in length. It has a dark, slightly iridescent body, yellow legs, and a venomous bite powerful enough to cause significant pain in humans.",,
Chalk Hill Blue,Polyommatus coridon,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,Chalk and limestone grasslands,Herbivore (larvae) — horseshoe vetch; Adults — small flowers,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Decreasing,Central Europe to Western Asia,"Chalk hill blue caterpillars are tended by ants that feed on a sugary secretion from a special gland on the caterpillar's back. In return, the ants protect the caterpillars from parasitoids and predators — a classic mutualistic relationship.","Loss of chalk grassland, reduction of grazing",The chalk hill blue is a medium-sized butterfly. Males have silvery-pale blue upperside wings with a distinctive dark brown border; females are dark brown with orange lunules. Found almost exclusively on chalk and limestone hillsides.,,
Checquered Skipper,Carterocephalus palaemon,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Carterocephalus,"Ancient woodland rides, moorland edges with tall grasses",Herbivore (larvae) — grasses (especially purple moor grass); Adults — nectar from bugle and thistle,1 year (lifecycle),N/A,<0.001 kg,Near Threatened,Stable (but locally restricted),"Europe, Northern Asia; became extinct in England (reintroduced 2018)","The chequered skipper became extinct in England in 1976 due to changes in woodland management. In 2018, it was successfully reintroduced from Belgium — a pioneering conservation project. It remains present in Scotland.","Loss of traditional woodland management, loss of open rides","The chequered skipper is a small, compact butterfly with dark brown wings chequered with pale yellow spots. It holds its wings at a characteristic angle when resting, with forewings and hindwings at different angles.",,
Cheetah,Acinonyx jubatus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,"Open grasslands, savannas, scrub forests","Carnivore — gazelles, impalas, hares, wildebeest calves",10–12 years,Up to 20 years,20–65 kg,Vulnerable,Decreasing,"Sub-Saharan Africa, small population in Iran","The cheetah is the fastest land animal, capable of accelerating from 0 to 100 km/h in just 3 seconds during short bursts of speed.","Habitat loss, prey depletion, human conflict, illegal pet trade","The cheetah has a slender, aerodynamic body with a deep chest, spotted coat, small rounded head, and distinctive black tear marks from eye to mouth. Its semi-retractable claws provide grip for high-speed chases.",,
Chestnut,Not yet classified,Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Various,Unknown,Unknown,Unknown,Unknown,Not Evaluated,Unknown,Unknown,The Chestnut is one of 209 species in the AniX wildlife identification dataset.,Unknown,The Chestnut is included in the AniX training dataset. Detailed biological information will be updated in a future version.,,
Chicken,Not yet classified,Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Various,Unknown,Unknown,Unknown,Unknown,Not Evaluated,Unknown,Unknown,The Chicken is one of 209 species in the AniX wildlife identification dataset.,Unknown,The Chicken is included in the AniX training dataset. Detailed biological information will be updated in a future version.,,
Chimpanzee,Pan troglodytes,Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,"Tropical rainforests, woodlands, savannas","Omnivore — fruit, leaves, insects, small mammals",30–40 years,Up to 60 years,32–60 kg,Endangered,Decreasing,West and Central Africa,"Chimpanzees share approximately 98.7% of their DNA with humans and are our closest living relatives. They use tools — twigs, rocks, leaves — and pass this knowledge to younger generations.","Deforestation, bushmeat hunting, disease, illegal trade","The common chimpanzee is a great ape with a black coat, bare face, hands, and feet. Highly intelligent, social, and communicative, they live in communities of up to 150 individuals with complex hierarchical structures.",,
